image_name,nom_predit,score,statut,nom_correct
20260505_164345_002.jpg,CHLORURE NA 0.9% 1 L POCHE,0.308,identifie,CHLORURE NA 0.9% 1 L POCHE
20260505_164258_011.jpg,I3.1,0.314,identifie,I3.1
20260505_164526_010.jpg,ERREUR,0,erreur,ERREUR
20260505_164510_007.jpg,Tanakan 40mg,0.714,identifie,Tanakan 40mg
20260505_164500_006.jpg,Cleniderm,0.757,identifie,Cleniderm
20260505_164402_016.jpg,LONSURF 20/8.19 BT 20 CP,0.388,identifie,LONSURF 20/8.19 BT 20 CP
20260505_164342_012.jpg,PONSTYL SUPPO BT/8,0.33,identifie,PONSTYL SUPPO BT/8
20260505_164716_005.jpg,OEDES 40MG INJ B/1,0.342,identifie,OEDES 40MG INJ B/1
20260505_164337_008.jpg,I3.1,0.461,identifie,I3.1
20260505_164633_004.jpg,Doliprane 1000mg,0.79,identifie,Doliprane 1000mg
20260505_164258_018.jpg,"BC-F 8,4%",0.337,identifie,"BC-F 8,4%"
20260505_164258_016.jpg,I3.1,0.307,identifie,I3.1
20260505_164342_003.jpg,LEVO 1.5 BT 1 CP,0.613,identifie,LEVO 1.5 BT 1 CP
20260505_164500_001.jpg,Cleniderm,0.862,identifie,Cleniderm
20260505_164502_002.jpg,Cleniderm,0.885,identifie,Cleniderm
20260505_164658_014.jpg,Doli,0.477,identifie,Doli
20260505_164258_013.jpg,ERREUR,0,erreur,ERREUR
20260505_164448_004.jpg,Locapred,0.435,identifie,Locapred
20260505_164819_006.jpg,XILAM HCT 5/160/12.5 MG BT 28 CPS,0.394,identifie,XILAM HCT 5/160/12.5 MG BT 28 CPS
20260505_164633_001.jpg,Doliprane 1000mg,0.804,identifie,Doliprane 1000mg
20260505_164500_003.jpg,Cleniderm,0.753,identifie,Cleniderm
20260505_164636_019.jpg,CODOLIPRANE,0.71,identifie,CODOLIPRANE
20260505_164526_013.jpg,LEVO 1.5 BT 1 CP,0.353,identifie,LEVO 1.5 BT 1 CP
20260505_164252_006.jpg,I3.1,0.381,identifie,I3.1
20260505_164420_014.jpg,LEVO 1.5 BT 1 CP,0.409,identifie,LEVO 1.5 BT 1 CP
20260505_164819_004.jpg,BIOTIC 1G 14 STS (H),0.443,identifie,BIOTIC 1G 14 STS (H)
20260505_164554_002.jpg,SUSTANON,0.396,identifie,SUSTANON
20260505_164723_002.jpg,Doliprane 1000mg,0.845,identifie,Doliprane 1000mg
20260505_164420_010.jpg,LEVO 1.5 BT 1 CP,0.354,identifie,LEVO 1.5 BT 1 CP
20260505_164456_009.jpg,CLENIDERM,0.623,identifie,CLENIDERM
20260505_164550_018.jpg,Cristal,0.842,identifie,Cristal
20260505_164819_007.jpg,I3.1,0.415,identifie,I3.1
20260505_164342_002.jpg,LIPOSIC 0.2 %,0.33,identifie,LIPOSIC 0.2 %
20260505_164610_010.jpg,NGENLA 60MG SSOL 1*1.2ML,0.433,identifie,NGENLA 60MG SSOL 1*1.2ML
20260505_164342_007.jpg,DOLIPRANE 150MG 12 STS 8-12KG (H),0.428,identifie,DOLIPRANE 150MG 12 STS 8-12KG (H)
20260505_164606_006.jpg,DOLIPRANE 150MG 10SUPPO 8-12K (H),0.306,identifie,DOLIPRANE 150MG 10SUPPO 8-12K (H)
20260505_164554_006.jpg,SUSTANON,0.393,identifie,SUSTANON
20260505_164517_007.jpg,CAPEN,0.364,identifie,CAPEN
20260505_164258_030.jpg,CO-ZENOVAN 80/12.5MG /30,0.307,identifie,CO-ZENOVAN 80/12.5MG /30
20260505_164636_030.jpg,CODOLIPRANE,0.709,identifie,CODOLIPRANE
20260505_164711_011.jpg,ERREUR,0,erreur,ERREUR
20260505_164402_001.jpg,DOLIPRANE 150MG 12 STS 8-12KG (H),0.368,identifie,DOLIPRANE 150MG 12 STS 8-12KG (H)
20260505_164610_008.jpg,LEVO 1.5 BT 1 CP,0.613,identifie,LEVO 1.5 BT 1 CP
20260505_164329_013.jpg,A.V.D. BTE 20 CP,0.403,identifie,A.V.D. BTE 20 CP
20260505_164536_003.jpg,VISMED 20 UNID. X0.3ML,0.341,identifie,VISMED 20 UNID. X0.3ML
20260505_164606_009.jpg,ERREUR,0,erreur,ERREUR
20260505_164442_011.jpg,Locapred,0.587,identifie,Locapred
20260505_164329_004.jpg,LEVO 1.5 BT 1 CP,0.399,identifie,LEVO 1.5 BT 1 CP
20260505_164258_032.jpg,ERREUR,0,erreur,ERREUR
20260505_164500_011.jpg,Cleniderm,0.791,identifie,Cleniderm
20260505_164535_011.jpg,AZOLE,0.366,identifie,AZOLE
20260505_164329_014.jpg,I3.1,0.556,identifie,I3.1
20260505_164816_013.jpg,"TIM-87 0,5 %",0.336,identifie,"TIM-87 0,5 %"
20260505_164342_011.jpg,BROPDEX 0.3G/0.1G 10ML,0.35,identifie,BROPDEX 0.3G/0.1G 10ML
20260505_164716_003.jpg,NEOVIS 0.18% 10ML,0.406,identifie,NEOVIS 0.18% 10ML
20260505_164716_009.jpg,LEVO 1.5 BT 1 CP,0.613,identifie,LEVO 1.5 BT 1 CP
20260505_164636_024.jpg,CODOLIPRANE,0.735,identifie,CODOLIPRANE
20260505_164606_012.jpg,DOLIPRANE 150MG 10SUPPO 8-12K (H),0.374,identifie,DOLIPRANE 150MG 10SUPPO 8-12K (H)
20260505_164423_001.jpg,STIMOL 1 G,0.384,identifie,STIMOL 1 G
20260505_164606_018.jpg,LEVO 1.5 BT 1 CP,0.613,identifie,LEVO 1.5 BT 1 CP
20260505_164606_002.jpg,DOLIPRANE 150MG 10SUPPO 8-12K (H),0.344,identifie,DOLIPRANE 150MG 10SUPPO 8-12K (H)
20260505_164456_003.jpg,Cleniderm,0.642,identifie,Cleniderm
20260505_164526_002.jpg,I3.1,0.408,identifie,I3.1
20260505_164329_006.jpg,I3.1,0.355,identifie,I3.1
20260505_164427_007.jpg,AZ 500MG 3 CP (H),0.441,identifie,AZ 500MG 3 CP (H)
20260505_164819_010.jpg,LEVO 1.5 BT 1 CP,0.389,identifie,LEVO 1.5 BT 1 CP
20260505_164423_002.jpg,LEVO 1.5 BT 1 CP,0.35,identifie,LEVO 1.5 BT 1 CP
20260505_164644_001.jpg,I3.1,0.556,identifie,I3.1
20260505_164610_009.jpg,I3.1,0.492,identifie,I3.1
20260505_164526_005.jpg,KETUM 2.5 %,0.348,identifie,KETUM 2.5 %
20260505_164500_002.jpg,Cleniderm,0.793,identifie,Cleniderm
20260505_164550_006.jpg,Cristal,0.843,identifie,Cristal
20260505_164324_008.jpg,CHLORURE DE SODIUM 0.9%,0.383,identifie,CHLORURE DE SODIUM 0.9%
20260505_164500_012.jpg,Cleniderm,0.814,identifie,Cleniderm
20260505_164819_003.jpg,RANOZYP 5 MG 14 CP,0.34,identifie,RANOZYP 5 MG 14 CP
20260505_164542_016.jpg,SPECTRUM 500 B/20 (H),0.335,identifie,SPECTRUM 500 B/20 (H)
20260505_164622_006.jpg,I3.1,0.346,identifie,I3.1
20260505_164526_003.jpg,I3.1,0.315,identifie,I3.1
20260505_164324_018.jpg,DIFAL 1 %,0.472,identifie,DIFAL 1 %
20260505_164342_016.jpg,DOLIPRANE 150MG 12 STS 8-12KG (H),0.428,identifie,DOLIPRANE 150MG 12 STS 8-12KG (H)
20260505_164636_027.jpg,CODOLIPRANE,0.755,identifie,CODOLIPRANE
20260505_164644_010.jpg,I3.1,0.425,identifie,I3.1
20260505_164535_005.jpg,AZIX,0.346,identifie,AZIX
20260505_164636_008.jpg,CODOLIPRANE,0.736,identifie,CODOLIPRANE
